update,update_time,weights,cosine
1283,270.27206266300004,14.064999999999886_-4.027118435198063_-4.616236870396047_17.394986601633182,0.28975182565874813
1284,270.42757762400004,14.054999999999886_-4.038118435198063_-4.627236870396047_17.397986601633182,0.289715525614222
1285,270.428497761,14.050999999999886_-4.042118435198063_-4.632236870396047_17.39698660163318,0.28974818785356427
1286,270.42959194,14.053999999999887_-4.039118435198063_-4.625236870396047_17.39598660163318,0.28972209148352923
1287,270.43049894800004,14.044999999999886_-4.050118435198063_-4.606236870396047_17.40098660163318,0.28933120553029446
1288,270.431520336,14.039999999999885_-4.056118435198063_-4.601236870396047_17.40398660163318,0.2891707867748
1289,274.028814257,14.035999999999886_-4.061118435198063_-4.603236870396047_17.40498660163318,0.2891384346798904
1290,274.39406902400003,14.034999999999886_-4.061118435198063_-4.602236870396046_17.40598660163318,0.28908901425656397
1291,274.395173489,14.036999999999887_-4.059118435198063_-4.585236870396046_17.40598660163318,0.2889215594904111
1292,274.395988093,14.032999999999888_-4.063118435198063_-4.5892368703960456_17.406986601633182,0.2889035045245516
1293,274.39693839,14.034999999999888_-4.061118435198063_-4.5172368703960455_17.401986601633183,0.2882269067937162
1294,274.519805743,14.025999999999888_-4.071118435198063_-4.516236870396045_17.403986601633182,0.28808806576819834
